Movie Name,Year,Genre,IMDb Rating,Box Office
Teacher's Pet,1958, Romance,7.1,
Sleeping Beauty,1959,Animation,7.2,
Sleeping Beauty,1959, Family,7.2,
Sleeping Beauty,1959, Fantasy,7.2,
Sleeping Beauty,1959, Musical,7.2,
Sleeping Beauty,1959, Romance,7.2,
One Hundred and One Dalmatians,1961,Animation,7.2,
One Hundred and One Dalmatians,1961, Adventure,7.2,
One Hundred and One Dalmatians,1961, Comedy,7.2,
One Hundred and One Dalmatians,1961, Family,7.2,
The Sword in the Stone,1963,Animation,7.2,
The Sword in the Stone,1963, Adventure,7.2,
The Sword in the Stone,1963, Comedy,7.2,
The Sword in the Stone,1963, Family,7.2,
The Sword in the Stone,1963, Fantasy,7.2,
The Sword in the Stone,1963, Musical,7.2,
Mary Poppins,1964,Comedy,7.8,
Mary Poppins,1964, Family,7.8,
Mary Poppins,1964, Fantasy,7.8,
Mary Poppins,1964, Musical,7.8,
Winnie the Pooh and the Honey Tree,1966,Animation,8,
Winnie the Pooh and the Honey Tree,1966, Short,8,
Winnie the Pooh and the Honey Tree,1966, Comedy,8,
Winnie the Pooh and the Honey Tree,1966, Family,8,
Winnie the Pooh and the Honey Tree,1966, Musical,8,
Winnie the Pooh and the Blustery Day,1968,Animation,8,
Winnie the Pooh and the Blustery Day,1968, Short,8,
Winnie the Pooh and the Blustery Day,1968, Comedy,8,
Winnie the Pooh and the Blustery Day,1968, Family,8,
Winnie the Pooh and the Blustery Day,1968, Musical,8,
The Aristocats,1970,Animation,7.1,
The Aristocats,1970, Adventure,7.1,
The Aristocats,1970, Comedy,7.1,
The Aristocats,1970, Family,7.1,
The Aristocats,1970, Musical,7.1,
The Aristocats,1970,Animation,7.1,
The Aristocats,1970, Adventure,7.1,
The Aristocats,1970, Comedy,7.1,
The Aristocats,1970, Family,7.1,
The Aristocats,1970, Musical,7.1,
Bedknobs and Broomsticks,1971,Animation,7.1,
Bedknobs and Broomsticks,1971, Adventure,7.1,
Bedknobs and Broomsticks,1971, Comedy,7.1,
Bedknobs and Broomsticks,1971, Family,7.1,
Bedknobs and Broomsticks,1971, Fantasy,7.1,
Bedknobs and Broomsticks,1971, Musical,7.1,
Timon,1973,Drama,8.3,
The Rescuers,1977,Animation,6.9,
The Rescuers,1977, Adventure,6.9,
The Rescuers,1977, Comedy,6.9,
The Rescuers,1977, Family,6.9,
The Rescuers,1977, Fantasy,6.9,
Foods and Fun: A Nutrition Adventure,1980,Animation,,
Foods and Fun: A Nutrition Adventure,1980, Short,,
The Fox and the Hound,1981,Animation,7.3,
The Fox and the Hound,1981, Adventure,7.3,
The Fox and the Hound,1981, Drama,7.3,
The Fox and the Hound,1981, Family,7.3,
Oliver,1983,Documentary,7.6,
The Black Cauldron,1985,Animation,6.4,
The Black Cauldron,1985, Action,6.4,
The Black Cauldron,1985, Adventure,6.4,
The Black Cauldron,1985, Family,6.4,
The Black Cauldron,1985, Fantasy,6.4,
The Black Cauldron,1985, Horror,6.4,
The Great Mouse Detective,1986,Animation,7.2,
The Great Mouse Detective,1986, Adventure,7.2,
The Great Mouse Detective,1986, Family,7.2,
The Great Mouse Detective,1986, Musical,7.2,
The Great Mouse Detective,1986, Mystery,7.2,
DuckTales,1987,Animation,8.1,
DuckTales,1987, Adventure,8.1,
DuckTales,1987, Comedy,8.1,
DuckTales,1987, Family,8.1,
Chip 'n' Dale Rescue Rangers,1988,Animation,7.6,
Chip 'n' Dale Rescue Rangers,1988, Adventure,7.6,
Chip 'n' Dale Rescue Rangers,1988, Comedy,7.6,
Chip 'n' Dale Rescue Rangers,1988, Family,7.6,
Chip 'n' Dale Rescue Rangers,1988, Mystery,7.6,
The Little Mermaid,1989,Animation,7.6,
The Little Mermaid,1989, Family,7.6,
The Little Mermaid,1989, Fantasy,7.6,
The Little Mermaid,1989, Musical,7.6,
The Little Mermaid,1989, Romance,7.6,
The Rescuers Down Under,1990,Animation,6.9,
The Rescuers Down Under,1990, Adventure,6.9,
The Rescuers Down Under,1990, Crime,6.9,
The Rescuers Down Under,1990, Drama,6.9,
The Rescuers Down Under,1990, Family,6.9,
The Rescuers Down Under,1990, Fantasy,6.9,
The Rescuers Down Under,1990, Mystery,6.9,
TaleSpin,1990,Animation,7.6,
TaleSpin,1990, Short,7.6,
TaleSpin,1990, Action,7.6,
TaleSpin,1990, Adventure,7.6,
TaleSpin,1990, Comedy,7.6,
TaleSpin,1990, Drama,7.6,
TaleSpin,1990, Family,7.6,
TaleSpin,1990, Fantasy,7.6,
TaleSpin,1990, Mystery,7.6,
Beauty and the Beast,1991,Animation,8,47611331
Beauty and the Beast,1991, Family,8,47611331
Beauty and the Beast,1991, Fantasy,8,47611331
Beauty and the Beast,1991, Musical,8,47611331
Beauty and the Beast,1991, Romance,8,47611331
Darkwing Duck,1991,Animation,7.6,
Darkwing Duck,1991, Short,7.6,
Darkwing Duck,1991, Action,7.6,
Darkwing Duck,1991, Adventure,7.6,
Darkwing Duck,1991, Comedy,7.6,
Darkwing Duck,1991, Family,7.6,
Darkwing Duck,1991, Mystery,7.6,
Darkwing Duck,1991, Sci-Fi,7.6,
Aladdin,1992,Animation,8,
Aladdin,1992, Adventure,8,
Aladdin,1992, Comedy,8,
Aladdin,1992, Family,8,
Aladdin,1992, Fantasy,8,
Aladdin,1992, Musical,8,
Aladdin,1992, Romance,8,
Goof Troop,1992,Animation,6.8,
Goof Troop,1992, Short,6.8,
Goof Troop,1992, Adventure,6.8,
Goof Troop,1992, Comedy,6.8,
Goof Troop,1992, Family,6.8,
Goof Troop,1992, Music,6.8,
