Movie Name,Year,Keyword,IMDb Rating,Box Office
The Jungle Book,2016,remake,7.4,363995937.0
The Jungle Book,2016,bear,7.4,363995937.0
The Jungle Book,2016,jungle,7.4,363995937.0
The Jungle Book,2016,anthropomorphism,7.4,363995937.0
The Jungle Book,2016,orphan,7.4,363995937.0
The Jungle Book,2016,ape,7.4,363995937.0
The Jungle Book,2016,monkey,7.4,363995937.0
The Jungle Book,2016,animal,7.4,363995937.0
The Jungle Book,2016,talking to animals,7.4,363995937.0
The Jungle Book,2016,climbing a tree,7.4,363995937.0
The Jungle Book,2016,live action remake,7.4,363995937.0
Lady and the Tramp,1955,cat,7.3,
Lady and the Tramp,1955,spaghetti,7.3,
Lady and the Tramp,1955,lover (female),7.3,
Lady and the Tramp,1955,love of one's life,7.3,
Lady and the Tramp,1955,kiss,7.3,
Lady and the Tramp,1955,dog,7.3,
Dinosaur,2000,cataclysm,6.5,135606304.0
Dinosaur,2000,asteroid,6.5,135606304.0
Dinosaur,2000,leader,6.5,135606304.0
Dinosaur,2000,comet,6.5,135606304.0
Dinosaur,2000,prehistoric,6.5,135606304.0
Dinosaur,2000,prehistoric egg,6.5,135606304.0
Dinosaur,2000,dinosaur,6.5,135606304.0
Dinosaur,2000,nesting grounds,6.5,135606304.0
Dinosaur,2000,prehistoric creature,6.5,135606304.0
Dinosaur,2000,prehistoric adventure,6.5,135606304.0
Dinosaur,2000,lemur,6.5,135606304.0
Dinosaur,2000,prehistoric times,6.5,135606304.0
Home on the Range,2004,farm,5.3,49887802.0
Home on the Range,2004,cow,5.3,49887802.0
Home on the Range,2004,animal,5.3,49887802.0
Robin Hood,2010,robin hood,6.6,105219735.0
Robin Hood,2010,archer,6.6,105219735.0
Robin Hood,2010,knight,6.6,105219735.0
Robin Hood,2010,sherwood forest,6.6,105219735.0
Robin Hood,2010,bow and arrow,6.6,105219735.0
Robin Hood,2010,middle ages,6.6,105219735.0
Robin Hood,2010,medieval,6.6,105219735.0
Robin Hood,2010,king of england,6.6,105219735.0
Robin Hood,2010,12th century,6.6,105219735.0
Hercules,1997,hades,7.3,
Hercules,1997,musical,7.3,
Hercules,1997,peasant,7.3,
Hercules,1997,pegasus,7.3,
