Movie Name,Year,Meta Score,IMDb Rating,Box Office,Production Company
Donald's Cousin Gus,1939,,7.0,,N/A
Hold That Pose,1950,,7.1,,N/A
Grin and Bear It,1954,,7.2,,N/A
The Nightmare Before Christmas,1993,82.0,8.0,8616662.0,Touchstone Pictures
Melody Time,1948,69.0,6.4,,RKO Radio Pictures
Saludos Amigos,1942,60.0,6.2,,Walt Disney Productions
Teacher's Pet,1958,,7.1,,Paramount Home Video
Tinker Bell and the Great Fairy Rescue,2010,,6.9,288544.0,Walt Disney Pictures
Pooh's Heffalump Movie,2005,64.0,6.4,18013938.0,Buena Vista
The Emperor's New School,2006,,6.6,,
Mary Poppins,1964,88.0,7.8,,Walt Disney Productions
The Tortoise and the Hare,1935,,7.2,,N/A
Steamboat Willie,1928,,7.6,,N/A
Milo Murphy's Law,2016,,7.6,,
Mickey's Rival,1936,,6.9,,N/A
Timon,1973,,8.3,,N/A
Finding Nemo,2003,90.0,8.1,380529370.0,Walt Disney Pictures
Foods and Fun: A Nutrition Adventure,1980,,,,N/A
Trolley Troubles,1927,,6.3,,N/A
Pepper Ann,1997,,7.1,,
Alice Solves the Puzzle,1925,,5.8,,N/A
Winnie the Pooh and the Blustery Day,1968,,8.0,,N/A
The Chain Gang,1930,,6.6,,N/A
A Goofy Movie,1995,,6.8,,The Walt Disney Company
Tangled Ever After,2012,,7.6,,Walt Disney Pictures
The Little Mermaid: Ariel's Beginning,2008,,6.3,,Walt Disney Home Entertainment
TRON: Legacy,2010,49.0,6.8,172051787.0,Walt Disney Pictures
Mulan: 15th Anniversary - The Voices of Mulan II,2013,,,,N/A
The Reluctant Dragon,1941,,7.0,,Walt Disney Productions
Frankenweenie,2012,74.0,6.9,35287788.0,Walt Disney Pictures
The Weekenders,2000,,8.0,,
Fun and Fancy Free,1947,66.0,6.6,,RKO Pictures
